"Phoneme","Representative Sound",,"Articulatory features",,,,,
"a","father",,"Low","Tensed","Central2",,,
"b","bet",,"Voiced","Labial","Stop",,,
"c","bought",,"Medium","Velar",,,,
"d","deb",,"Voiced","Alveolar","Stop",,,
"e","bake",,"Medium","Tensed","Front2",,,
"f","fin",,"Unvoiced","Labial","Fricative",,,
"g","guess",,"Voiced","Velar","Stop",,,
"h","bead",,"Unvoiced","Glottal","Glide",,,
"i","Pete",,"High","Tensed","Front1",,,
"k","Ken",,"Unvoiced","Velar","Stop",,,
"l","bt",,"Voiced","Dental","Liquid",,,
"m","met",,"Voiced","Labial","Nasal",,,
"n","net",,"Voiced","Alveolar","Nasal",,,
"o","boat",,"Medium","Tensed","Back2",,,
"p ","pet",,"Unvoiced","Labial","Stop",,,
"r","red",,"Voiced","Palatal","Liquid",,,
"s","sit",,"Unvoiced","Alveolar","Fricative",,,
"t","test",,"Unvoiced","Alveolar","Stop",,,
"u","lute",,"High","Tensed","Back2",,,
"v","vest",,"Voiced","Labial","Fricative",,,
"w","wet",,"Voiced","Labial","Glide",,,
"x","about",,"Medium","Central2",,,,
"y","Yet",,"Voiced","Palatal","Glide",,,
"z","zoo",,"Voiced","Alveolar","Fricative",,,
"A","bite",,"Medium","Tensed","Front2","Central1",,
"C","chin",,"Unvoiced","Palatal","Affricative",,,
"D","this",,"Voiced","Dental","Fricative",,,
"E","bet",,"Medium","Front1","Front2",,,
"G","sing",,"Voiced","Velar","Nasal",,,
"I","bit",,"High","Front1",,,,
"J","gin",,"Voiced","Velar","Nasal",,,
"K","sexual",,"Unvoiced","Palatal","Fricative","Velar","Affricative",
"L","bottle",,"Voiced","Alveolar","Liquid",,,
"M","absym",,"Voiced","Dental","Nasal",,,
"N","button",,"Voiced","Palatal","Nasal",,,
"O","boy",,"Medium","Tensed","Central1","Central2",,
"Q","quest",,"Voiced","Labial","Velar","Affricative","Stop",
"R","bird",,"Voiced","Velar","Liquid",,,
"S","shin",,"Unvoiced","Palatal","Fricative",,,
"T","thin",,"Unvoiced","Dental","Fricative",,,
"U","book",,"High","Back1",,,,
"w","bout",,"High","Medium","Tensed","Central2","Back1",
"X","excess",,"Unvoiced","Affricative","Front2","Central1",,
"Y","cute",,"High","Tensed","Front1","Front2","Central1",
"Z","leisure",,"Voiced","Palatal","Fricative",,,
"@","bat",,"Low","Front2",,,,
"!","Nazi",,"Unvoiced","Labial","Dental","Affricative",,
"#","e",,"Voiced","Palatal","Velar","Affricative",,
"*","one",,"Voiced","Glide","Front1","Low","Central1","Central"
"|","logic",,"High","Front1","Front2",,,
"^","but",,"Low","Central",,,,
"-","Continuation",,"Silent","Elide",,,,
"_","Word","Boundary","Pause","Elide",,,,
".","Period",,"Pause","Full Stop",,,,
